Locations,Total Cases,Rate,collect_time,Deaths,Death_rate
Los Angeles - Venice,65,191.83,2020-05-26,2,5.9
Los Angeles - Vermont Knolls,126,732.56,2020-05-26,2,11.63
Los Angeles - Vermont Square,83,1083.98,2020-05-26,2,26.12
Los Angeles - Vermont Vista,287,696.84,2020-05-26,5,12.14
Los Angeles - Vernon Central,553,1063.5,2020-05-26,10,19.23
Los Angeles - Victoria Park,56,666.75,2020-05-26,2,23.81
Los Angeles - View Heights,8,216.57,2020-05-26,2,54.14
Los Angeles - Watts,258,604.58,2020-05-26,7,16.4
Los Angeles - Wellington Square,21,427.26,2020-05-26,0,0
Los Angeles - West Adams,196,709.37,2020-05-26,16,57.91
Los Angeles - West Hills,129,318.17,2020-05-26,12,29.6
Los Angeles - West Los Angeles,74,196.62,2020-05-26,4,10.63
Los Angeles - West Vernon,424,790.4,2020-05-26,15,27.96
Los Angeles - Westchester,92,178.28,2020-05-26,8,15.5
Los Angeles - Westlake,679,1143.96,2020-05-26,68,114.56
Los Angeles - Westwood,66,121.98,2020-05-26,5,9.24
Los Angeles - Wholesale District*,624,1727.14,2020-05-26,7,19.38
Los Angeles - Wilmington,225,398.32,2020-05-26,3,5.31
Los Angeles - Wilshire Center,224,446.48,2020-05-26,16,31.89
Los Angeles - Winnetka,276,532.96,2020-05-26,3,5.79
Los Angeles - Woodland Hills,154,226.29,2020-05-26,11,16.16
Unincorporated - Acton,11,138,2020-05-26,1,12.55
Unincorporated - Agua Dulce,7,168.35,2020-05-26,0,0
Unincorporated - Altadena,143,327.83,2020-05-26,5,11.46
Unincorporated - Anaverde,1,66.31,2020-05-26,0,0
Unincorporated - Angeles National Forest,0,0,2020-05-26,0,0
Unincorporated - Arcadia,7,87.71,2020-05-26,1,12.53
Unincorporated - Athens-Westmont,217,511.29,2020-05-26,7,16.49
Unincorporated - Athens Village,25,510.52,2020-05-26,2,40.84
Unincorporated - Avocado Heights,23,339.48,2020-05-26,1,14.76
Unincorporated - Azusa,57,357.97,2020-05-26,1,6.28
Unincorporated - Bassett,82,553.42,2020-05-26,2,13.5
Unincorporated - Bouquet Canyon,0,0,2020-05-26,0,0
Unincorporated - Bradbury,0,0,2020-05-26,0,0
Unincorporated - Canyon Country,36,465.84,2020-05-26,0,0
Unincorporated - Castaic*,321,1180.54,2020-05-26,1,3.68
Unincorporated - Cerritos,0,0,2020-05-26,0,0
Unincorporated - Charter Oak,0,0,2020-05-26,0,0
Unincorporated - Claremont,0,0,2020-05-26,0,0
Unincorporated - Covina,56,332.96,2020-05-26,0,0
Unincorporated - Covina (Charter Oak),40,304.32,2020-05-26,0,0
Unincorporated - Del Aire,13,295.93,2020-05-26,1,22.76
Unincorporated - Del Rey,0,0,2020-05-26,0,0
Unincorporated - Del Sur,2,82.82,2020-05-26,1,41.41
Unincorporated - Desert View Highlands,6,240.67,2020-05-26,1,40.11
Unincorporated - Duarte,15,338.75,2020-05-26,0,0
Unincorporated - East Covina,0,0,2020-05-26,0,0
Unincorporated - East La Mirada,15,283.45,2020-05-26,0,0
Unincorporated - East Lancaster,0,0,2020-05-26,0,0
Unincorporated - East Los Angeles,834,665.77,2020-05-26,34,27.14
Unincorporated - East Pasadena,3,46.85,2020-05-26,0,0
Unincorporated - East Rancho Dominguez,45,293.96,2020-05-26,1,6.53
Unincorporated - East Whittier,9,169.62,2020-05-26,0,0
Unincorporated - El Camino Village,26,295.76,2020-05-26,0,0
Unincorporated - El Monte,0,0,2020-05-26,0,0
Unincorporated - Elizabeth Lake,3,180.61,2020-05-26,0,0
Unincorporated - Florence-Firestone,537,829.92,2020-05-26,15,23.18
Unincorporated - Franklin Canyon,0,0,2020-05-26,0,0
Unincorporated - Glendora,2,303.03,2020-05-26,0,0
Unincorporated - Hacienda Heights,126,225.3,2020-05-26,2,3.58
Unincorporated - Harbor Gateway,0,0,2020-05-26,0,0
Unincorporated - Hawthorne,5,198.89,2020-05-26,0,0
Unincorporated - Hi Vista,1,91.07,2020-05-26,0,0
Unincorporated - Kagel/Lopez Canyons,7,495.75,2020-05-26,0,0
Unincorporated - La Crescenta-Montrose,29,146.46,2020-05-26,1,5.05
Unincorporated - La Habra Heights,0,0,2020-05-26,0,0
Unincorporated - La Rambla,9,433.73,2020-05-26,0,0
Unincorporated - La Verne,4,196.08,2020-05-26,0,0
Unincorporated - Ladera Heights,19,268.7,2020-05-26,1,14.14
Unincorporated - Lake Hughes,1,149.7,2020-05-26,0,0
Unincorporated - Lake Los Angeles,28,215.48,2020-05-26,2,15.39
Unincorporated - Lake Manor,4,243.46,2020-05-26,0,0
Unincorporated - Lakewood,0,0,2020-05-26,0,0
Unincorporated - Lennox,90,399.25,2020-05-26,0,0
Unincorporated - Leona Valley,2,114.22,2020-05-26,0,0
Unincorporated - Littlerock,15,373.04,2020-05-26,0,0
Unincorporated - Littlerock/Juniper Hills,2,154.2,2020-05-26,0,0
Unincorporated - Littlerock/Pearblossom,20,560.38,2020-05-26,0,0
Unincorporated - Llano,1,114.03,2020-05-26,0,0
Unincorporated - Marina del Rey,14,148.76,2020-05-26,1,10.63
Unincorporated - Miracle Mile,0,0,2020-05-26,0,0
Unincorporated - Monrovia,19,489.56,2020-05-26,0,0
Unincorporated - Newhall,1,454.55,2020-05-26,0,0
Unincorporated - North Lancaster,5,417.36,2020-05-26,0,0
Unincorporated - North Whittier,11,131.58,2020-05-26,1,11.96
Unincorporated - Northeast San Gabriel,49,203.86,2020-05-26,2,8.32
Unincorporated - Palmdale,4,475.06,2020-05-26,0,0
Unincorporated - Palos Verdes Peninsula,0,0,2020-05-26,0,0
Unincorporated - Pearblossom/Llano,2,102.25,2020-05-26,0,0
Unincorporated - Pellissier Village,1,161.55,2020-05-26,0,0
Unincorporated - Placerita Canyon,0,0,2020-05-26,0,0
Unincorporated - Pomona,1,51.6,2020-05-26,0,0
Unincorporated - Quartz Hill,42,325.43,2020-05-26,8,61.99
Unincorporated - Rancho Dominguez,14,526.12,2020-05-26,1,37.58
Unincorporated - Roosevelt,0,0,2020-05-26,0,0
Unincorporated - Rosewood,5,388.8,2020-05-26,0,0
Unincorporated - Rosewood/East Gardena,0,0,2020-05-26,0,0
Unincorporated - Rosewood/West Rancho Dominguez,24,714.07,2020-05-26,0,0
Unincorporated - Rowland Heights,121,237.15,2020-05-26,4,7.84
Unincorporated - San Clemente Island,0,0,2020-05-26,0,0
Unincorporated - San Francisquito Canyon/Bouquet Canyon,0,0,2020-05-26,0,0
Unincorporated - San Jose Hills,56,276.94,2020-05-26,2,9.89
Unincorporated - San Pasqual,1,49.14,2020-05-26,0,0
Unincorporated - Sand Canyon,0,0,2020-05-26,0,0
Unincorporated - Santa Catalina Island,2,749.06,2020-05-26,0,0
Unincorporated - Santa Monica Mountains,21,112.78,2020-05-26,1,5.37
Unincorporated - Saugus,4,2580.65,2020-05-26,0,0
Unincorporated - Saugus/Canyon Country,0,0,2020-05-26,0,0
Unincorporated - South Antelope Valley,1,219.78,2020-05-26,0,0
Unincorporated - South El Monte,6,334.26,2020-05-26,0,0
Unincorporated - South San Gabriel,30,339.06,2020-05-26,3,33.91
Unincorporated - South Whittier,143,241.46,2020-05-26,8,13.51
Unincorporated - Southeast Antelope Valley,0,0,2020-05-26,0,0
Unincorporated - Stevenson Ranch,33,157.4,2020-05-26,0,0
Unincorporated - Sun Village,15,248.51,2020-05-26,0,0
Unincorporated - Sunrise Village,3,231.48,2020-05-26,0,0
Unincorporated - Twin Lakes/Oat Mountain,4,241.25,2020-05-26,1,60.31
Unincorporated - Val Verde,21,634.63,2020-05-26,0,0
Unincorporated - Valencia,7,227.86,2020-05-26,0,0
Unincorporated - Valinda,82,350.86,2020-05-26,1,4.28
Unincorporated - View Park/Windsor Hills,34,292.22,2020-05-26,2,17.19
Unincorporated - Walnut Park,112,693.8,2020-05-26,3,18.58
Unincorporated - West Antelope Valley,2,132.36,2020-05-26,0,0
Unincorporated - West Carson,98,443.72,2020-05-26,9,40.75
Unincorporated - West Chatsworth,0,0,2020-05-26,0,0
Unincorporated - West LA,23,2415.97,2020-05-26,2,210.08
Unincorporated - West Puente Valley,43,437.21,2020-05-26,0,0
Unincorporated - West Rancho Dominguez,5,367.92,2020-05-26,1,73.58
Unincorporated - West Whittier/Los Nietos,125,464.25,2020-05-26,4,14.86
Unincorporated - Westfield/Academy Hills,0,0,2020-05-26,0,0
Unincorporated - Westhills,0,0,2020-05-26,0,0
Unincorporated - White Fence Farms,5,135.76,2020-05-26,0,0
Unincorporated - Whittier,13,343.55,2020-05-26,0,0
Unincorporated - Whittier Narrows,0,0,2020-05-26,0,0
Unincorporated - Willowbrook,185,529.89,2020-05-26,4,11.46
Unincorporated - Wiseburn,15,248.88,2020-05-26,0,0
-  Under Investigation,1991,,2020-05-26,12,
City of Agoura Hills,35,167.6,2020-05-27,0,0
City of Alhambra,186,214.47,2020-05-27,8,9.22
City of Arcadia,80,138.52,2020-05-27,5,8.66
City of Artesia,30,178.62,2020-05-27,0,0
City of Avalon,0,0,2020-05-27,0,0
City of Azusa,159,317.75,2020-05-27,5,9.99
City of Baldwin Park,294,382.97,2020-05-27,6,7.82
City of Bell,294,809.2,2020-05-27,23,63.31
City of Bell Gardens,260,603.65,2020-05-27,10,23.22
City of Bellflower,361,464.4,2020-05-27,16,20.58
City of Beverly Hills,135,391.08,2020-05-27,5,14.48
City of Bradbury,3,280.64,2020-05-27,0,0
City of Burbank,393,366.67,2020-05-27,39,36.39
City of Calabasas,59,242.57,2020-05-27,7,28.78
City of Carson,395,420.9,2020-05-27,23,24.51
City of Cerritos,116,231.69,2020-05-27,1,2
City of Claremont,38,104.16,2020-05-27,0,0
City of Commerce*,58,443.8,2020-05-27,0,0
City of Compton,512,512.49,2020-05-27,13,13.01
City of Covina,154,314.08,2020-05-27,6,12.24
City of Cudahy,201,825.56,2020-05-27,5,20.54
City of Culver City,138,346.17,2020-05-27,16,40.14
City of Diamond Bar,58,100.84,2020-05-27,1,1.74
City of Downey,590,516.35,2020-05-27,22,19.25
City of Duarte,113,513.26,2020-05-27,14,63.59
City of El Monte,465,396.52,2020-05-27,20,17.05
City of El Segundo,32,190.64,2020-05-27,0,0
City of Gardena,253,412.66,2020-05-27,21,34.25
City of Glendale,952,461.03,2020-05-27,77,37.29
City of Glendora,138,261.54,2020-05-27,6,11.37
City of Hawaiian Gardens,48,327.06,2020-05-27,0,0
City of Hawthorne,376,423.49,2020-05-27,10,11.26
City of Hermosa Beach,29,147.43,2020-05-27,2,10.17
City of Hidden Hills,1,52.91,2020-05-27,0,0
City of Huntington Park,445,748.1,2020-05-27,9,15.13
City of Industry,10,2288.33,2020-05-27,2,457.67
City of Inglewood,560,493.04,2020-05-27,54,47.54
City of Irwindale,4,274.16,2020-05-27,0,0
City of La Canada Flintridge,50,241.63,2020-05-27,5,24.16
City of La Habra Heights,8,146.65,2020-05-27,0,0
City of La Mirada,160,322.59,2020-05-27,9,18.15
City of La Puente,108,265.38,2020-05-27,0,0
City of La Verne,30,90.14,2020-05-27,1,3
City of Lakewood,169,210.3,2020-05-27,5,6.22
City of Lancaster*,553,342.27,2020-05-27,11,6.81
City of Lawndale,112,333.19,2020-05-27,4,11.9
City of Lomita,50,241.21,2020-05-27,6,28.94
City of Lynwood*,538,746.73,2020-05-27,31,43.03
City of Malibu,35,270.04,2020-05-27,1,7.72
City of Manhattan Beach,77,213.89,2020-05-27,2,5.56
City of Maywood,250,891.3,2020-05-27,7,24.96
City of Monrovia,154,396.91,2020-05-27,18,46.39
City of Montebello,357,554.56,2020-05-27,15,23.3
City of Monterey Park,145,232.89,2020-05-27,6,9.64
City of Norwalk,384,356.8,2020-05-27,13,12.08
City of Palmdale,678,426.5,2020-05-27,17,10.69
City of Palos Verdes Estates,42,310.6,2020-05-27,1,7.4
City of Paramount,291,519.43,2020-05-27,8,14.28
City of Pico Rivera,456,709.35,2020-05-27,27,42
City of Pomona,413,264.86,2020-05-27,11,7.05
City of Rancho Palos Verdes,91,212.88,2020-05-27,11,25.73
City of Redondo Beach,138,200.88,2020-05-27,8,11.65
City of Rolling Hills,2,103.09,2020-05-27,0,0
City of Rolling Hills Estates,14,172.56,2020-05-27,0,0
City of Rosemead,89,160.79,2020-05-27,3,5.42
City of San Dimas,49,141.96,2020-05-27,1,2.9
City of San Fernando,187,759.79,2020-05-27,7,28.44
City of San Gabriel,136,332.08,2020-05-27,10,24.42
City of San Marino,22,165.7,2020-05-27,1,7.53
City of Santa Clarita,701,318.02,2020-05-27,16,7.26
City of Santa Fe Springs,54,294.05,2020-05-27,0,0
City of Santa Monica,259,280.16,2020-05-27,17,18.39
City of Sierra Madre,10,91,2020-05-27,0,0
City of Signal Hill,25,211.92,2020-05-27,0,0
City of South El Monte,77,368.69,2020-05-27,2,9.58
City of South Gate,526,535.89,2020-05-27,13,13.24
City of South Pasadena,122,468.28,2020-05-27,18,69.09
City of Temple City,148,405.98,2020-05-27,18,49.38
City of Torrance,358,239.84,2020-05-27,45,30.15
City of Vernon,2,956.94,2020-05-27,0,0
City of Walnut,44,144.11,2020-05-27,1,3.28
City of West Covina,312,288.26,2020-05-27,7,6.47
City of West Hollywood,177,479.01,2020-05-27,4,10.83
City of Westlake Village,6,71.77,2020-05-27,0,0
City of Whittier,295,337.41,2020-05-27,9,10.29
Los Angeles,23086,570.79,2020-05-27,1070,26.45
Los Angeles - Adams-Normandie,50,609.61,2020-05-27,2,24.38
Los Angeles - Alsace,47,377.66,2020-05-27,0,0
Los Angeles - Angeles National Forest,0,0,2020-05-27,0,0
Los Angeles - Angelino Heights,16,639.49,2020-05-27,0,0
Los Angeles - Arleta,263,765.2,2020-05-27,5,14.55
Los Angeles - Atwater Village,51,347.74,2020-05-27,2,13.64
Los Angeles - Baldwin Hills,159,510.84,2020-05-27,8,25.7
Los Angeles - Bel Air,35,415.23,2020-05-27,0,0
Los Angeles - Beverly Crest,37,295.41,2020-05-27,2,15.97
Los Angeles - Beverlywood,37,280.88,2020-05-27,0,0
Los Angeles - Boyle Heights*,638,734.31,2020-05-27,12,13.81
Los Angeles - Brentwood,75,242.29,2020-05-27,1,3.23
Los Angeles - Brookside,0,0,2020-05-27,0,0
Los Angeles - Cadillac-Corning,29,407.25,2020-05-27,1,14.04
Los Angeles - Canoga Park,483,739.79,2020-05-27,25,38.29
Los Angeles - Carthay,76,529.14,2020-05-27,7,48.74
Los Angeles - Central,372,954.04,2020-05-27,15,38.47
Los Angeles - Century City,32,250.16,2020-05-27,0,0
Los Angeles - Century Palms/Cove,231,684.12,2020-05-27,2,5.92
Los Angeles - Chatsworth,181,488.38,2020-05-27,23,62.06
Los Angeles - Cheviot Hills,20,218.08,2020-05-27,1,10.9
Los Angeles - Chinatown,21,261.81,2020-05-27,1,12.47
Los Angeles - Cloverdale/Cochran,60,412.29,2020-05-27,3,20.61
Los Angeles - Country Club Park,93,613.74,2020-05-27,18,118.79
Los Angeles - Crenshaw District,67,484.49,2020-05-27,3,21.69
Los Angeles - Crestview,86,756.51,2020-05-27,14,123.15
Los Angeles - Del Rey,72,240.51,2020-05-27,3,10.02
Los Angeles - Downtown*,135,490.78,2020-05-27,3,10.91
Los Angeles - Eagle Rock,170,429.41,2020-05-27,9,22.73
Los Angeles - East Hollywood,218,744.36,2020-05-27,35,119.51
Los Angeles - Echo Park,43,301.63,2020-05-27,0,0
Los Angeles - El Sereno,156,373.13,2020-05-27,15,35.88
Los Angeles - Elysian Park,16,280.11,2020-05-27,0,0
Los Angeles - Elysian Valley,54,530.92,2020-05-27,0,0
Los Angeles - Encino,120,265.65,2020-05-27,12,26.57
Los Angeles - Exposition,9,270.6,2020-05-27,0,0
Los Angeles - Exposition Park,239,532.09,2020-05-27,11,24.49
Los Angeles - Faircrest Heights,4,111.11,2020-05-27,1,27.78
Los Angeles - Figueroa Park Square,36,412.8,2020-05-27,0,0
Los Angeles - Florence-Firestone,355,748.23,2020-05-27,10,21.08
Los Angeles - Glassell Park,179,566.38,2020-05-27,5,15.82
Los Angeles - Gramercy Place,64,594.57,2020-05-27,2,18.58
Los Angeles - Granada Hills,299,513.83,2020-05-27,22,37.81
Los Angeles - Green Meadows,152,706.81,2020-05-27,4,18.6
Los Angeles - Hancock Park,78,457.77,2020-05-27,2,11.74
Los Angeles - Harbor City,89,306.16,2020-05-27,4,13.76
Los Angeles - Harbor Gateway,128,293.58,2020-05-27,4,9.17
Los Angeles - Harbor Pines,9,373.6,2020-05-27,0,0
Los Angeles - Harvard Heights,129,715.28,2020-05-27,13,72.08
Los Angeles - Harvard Park,278,732.83,2020-05-27,3,7.91
Los Angeles - Highland Park,188,388.5,2020-05-27,1,2.07
Los Angeles - Historic Filipinotown,130,937.27,2020-05-27,5,36.05
Los Angeles - Hollywood,264,386.79,2020-05-27,6,8.79
Los Angeles - Hollywood Hills,81,275.19,2020-05-27,5,16.99
Los Angeles - Hyde Park,137,480.01,2020-05-27,2,7.01
Los Angeles - Jefferson Park,38,470.7,2020-05-27,1,12.39
Los Angeles - Koreatown,261,504.9,2020-05-27,16,30.95
Los Angeles - Lafayette Square,18,394.82,2020-05-27,0,0
Los Angeles - Lake Balboa,190,450.17,2020-05-27,6,14.22
Los Angeles - Lakeview Terrace,106,807.13,2020-05-27,3,22.84
Los Angeles - Leimert Park,56,367.57,2020-05-27,2,13.13
Los Angeles - Lincoln Heights,225,690.25,2020-05-27,17,52.15
Los Angeles - Little Armenia,190,2367.6,2020-05-27,30,373.83
Los Angeles - Little Bangladesh,124,437.5,2020-05-27,2,7.06
Los Angeles - Little Tokyo,17,542.61,2020-05-27,2,63.84
Los Angeles - Longwood,21,487.92,2020-05-27,0,0
Los Angeles - Los Feliz,49,226.77,2020-05-27,1,4.63
Los Angeles - Manchester Square,19,222.59,2020-05-27,0,0
Los Angeles - Mandeville Canyon,1,32.01,2020-05-27,0,0
Los Angeles - Mar Vista,80,188.36,2020-05-27,4,9.42
Los Angeles - Marina Peninsula,12,275.23,2020-05-27,0,0
Los Angeles - Melrose,538,692.44,2020-05-27,37,47.62
Los Angeles - Mid-city,55,365.93,2020-05-27,3,19.96
Los Angeles - Miracle Mile,40,222.41,2020-05-27,4,22.24
Los Angeles - Mission Hills,139,576.19,2020-05-27,6,24.87
Los Angeles - Mt. Washington,100,414.16,2020-05-27,3,12.42
Los Angeles - North Hills,421,683.72,2020-05-27,14,22.74
Los Angeles - North Hollywood,660,435.87,2020-05-27,22,14.53
Los Angeles - Northridge,314,449.88,2020-05-27,28,40.12
Los Angeles - Pacific Palisades,52,244.23,2020-05-27,3,14.09
Los Angeles - Pacoima,664,862.57,2020-05-27,14,18.19
Los Angeles - Palisades Highlands,3,78,2020-05-27,0,0
Los Angeles - Palms,185,421.63,2020-05-27,19,43.3
Los Angeles - Panorama City,693,920.93,2020-05-27,34,45.18
Los Angeles - Park La Brea,19,139.91,2020-05-27,1,7.36
Los Angeles - Pico-Union,514,1228.43,2020-05-27,56,133.84
Los Angeles - Playa Del Rey,3,93.87,2020-05-27,0,0
Los Angeles - Playa Vista,23,210.1,2020-05-27,0,0
Los Angeles - Porter Ranch,89,250.08,2020-05-27,5,14.05
Los Angeles - Rancho Park,17,259.15,2020-05-27,0,0
Los Angeles - Regent Square,4,143.88,2020-05-27,0,0
Los Angeles - Reseda,528,689.14,2020-05-27,24,31.32
Los Angeles - Reseda Ranch,30,647.11,2020-05-27,0,0
Los Angeles - Reynier Village,10,236.52,2020-05-27,0,0
Los Angeles - San Pedro*,883,1131.5,2020-05-27,15,19.22
Los Angeles - Shadow Hills,10,225.12,2020-05-27,0,0
Los Angeles - Sherman Oaks,222,254.43,2020-05-27,10,11.46
Los Angeles - Silverlake,175,396.98,2020-05-27,10,22.68
Los Angeles - South Carthay,35,330.34,2020-05-27,0,0
Los Angeles - South Park,348,916.73,2020-05-27,7,18.44
Los Angeles - St Elmo Village,44,959.86,2020-05-27,5,109.08
Los Angeles - Studio City,77,343.14,2020-05-27,5,22.28
Los Angeles - Sun Valley,286,544.94,2020-05-27,7,13.34
Los Angeles - Sunland,144,705.61,2020-05-27,14,68.6
Los Angeles - Sycamore Square,1,154.56,2020-05-27,0,0
Los Angeles - Sylmar*,749,909,2020-05-27,39,47.33
Los Angeles - Tarzana,157,508.49,2020-05-27,9,29.15
Los Angeles - Temple-Beaudry,308,780.1,2020-05-27,11,27.86
Los Angeles - Thai Town,30,305.84,2020-05-27,0,0
Los Angeles - Toluca Lake,19,218.29,2020-05-27,0,0
Los Angeles - Toluca Terrace,6,459.42,2020-05-27,0,0
Los Angeles - Toluca Woods,3,161.46,2020-05-27,0,0
Los Angeles - Tujunga,116,417.12,2020-05-27,11,39.55
Los Angeles - University Hills,11,320.79,2020-05-27,1,29.16
Los Angeles - University Park,172,626.46,2020-05-27,1,3.64
Los Angeles - Valley Glen,124,413.11,2020-05-27,3,9.99
Los Angeles - Valley Village,203,821.2,2020-05-27,8,32.36
Los Angeles - Van Nuys,664,712.49,2020-05-27,27,28.97
Los Angeles - Venice,65,191.83,2020-05-27,2,5.9
Los Angeles - Vermont Knolls,133,773.26,2020-05-27,2,11.63
Los Angeles - Vermont Square,83,1083.98,2020-05-27,2,26.12
Los Angeles - Vermont Vista,298,723.55,2020-05-27,5,12.14
Los Angeles - Vernon Central,563,1082.73,2020-05-27,11,21.15
Los Angeles - Victoria Park,56,666.75,2020-05-27,2,23.81
Los Angeles - View Heights,8,216.57,2020-05-27,2,54.14
Los Angeles - Watts,268,628.02,2020-05-27,7,16.4
Los Angeles - Wellington Square,21,427.26,2020-05-27,0,0
Los Angeles - West Adams,202,731.09,2020-05-27,16,57.91
Los Angeles - West Hills,130,320.63,2020-05-27,12,29.6
Los Angeles - West Los Angeles,74,196.62,2020-05-27,4,10.63
Los Angeles - West Vernon,435,810.9,2020-05-27,15,27.96
Los Angeles - Westchester,92,178.28,2020-05-27,8,15.5
Los Angeles - Westlake,693,1167.55,2020-05-27,71,119.62
Los Angeles - Westwood,66,121.98,2020-05-27,5,9.24
Los Angeles - Wholesale District*,653,1807.41,2020-05-27,7,19.38
Los Angeles - Wilmington,225,398.32,2020-05-27,3,5.31
Los Angeles - Wilshire Center,228,454.45,2020-05-27,16,31.89
Los Angeles - Winnetka,282,544.55,2020-05-27,4,7.72
Los Angeles - Woodland Hills,155,227.76,2020-05-27,11,16.16
Unincorporated - Acton,11,138,2020-05-27,1,12.55
Unincorporated - Agua Dulce,7,168.35,2020-05-27,0,0
Unincorporated - Altadena,143,327.83,2020-05-27,5,11.46
Unincorporated - Anaverde,1,66.31,2020-05-27,0,0
Unincorporated - Angeles National Forest,0,0,2020-05-27,0,0
Unincorporated - Arcadia,8,100.24,2020-05-27,1,12.53
Unincorporated - Athens-Westmont,219,516,2020-05-27,7,16.49
Unincorporated - Athens Village,26,530.94,2020-05-27,2,40.84
Unincorporated - Avocado Heights,23,339.48,2020-05-27,1,14.76
Unincorporated - Azusa,58,364.25,2020-05-27,1,6.28
Unincorporated - Bassett,81,546.67,2020-05-27,2,13.5
Unincorporated - Bouquet Canyon,0,0,2020-05-27,0,0
Unincorporated - Bradbury,0,0,2020-05-27,0,0
Unincorporated - Canyon Country,37,478.78,2020-05-27,0,0
Unincorporated - Castaic*,322,1184.22,2020-05-27,1,3.68
Unincorporated - Cerritos,0,0,2020-05-27,0,0
Unincorporated - Charter Oak,0,0,2020-05-27,0,0
Unincorporated - Claremont,0,0,2020-05-27,0,0
Unincorporated - Covina,56,332.96,2020-05-27,0,0
Unincorporated - Covina (Charter Oak),41,311.93,2020-05-27,0,0
Unincorporated - Del Aire,14,318.69,2020-05-27,1,22.76
Unincorporated - Del Rey,0,0,2020-05-27,0,0
Unincorporated - Del Sur,2,82.82,2020-05-27,1,41.41
Unincorporated - Desert View Highlands,6,240.67,2020-05-27,1,40.11
Unincorporated - Duarte,15,338.75,2020-05-27,0,0
Unincorporated - East Covina,0,0,2020-05-27,0,0
Unincorporated - East La Mirada,16,302.34,2020-05-27,0,0
Unincorporated - East Lancaster,0,0,2020-05-27,0,0
Unincorporated - East Los Angeles,843,672.95,2020-05-27,36,28.74
Unincorporated - East Pasadena,3,46.85,2020-05-27,0,0
Unincorporated - East Rancho Dominguez,46,300.5,2020-05-27,1,6.53
Unincorporated - East Whittier,9,169.62,2020-05-27,0,0
Unincorporated - El Camino Village,30,341.26,2020-05-27,0,0
Unincorporated - El Monte,0,0,2020-05-27,0,0
Unincorporated - Elizabeth Lake,3,180.61,2020-05-27,0,0
Unincorporated - Florence-Firestone,553,854.65,2020-05-27,16,24.73
Unincorporated - Franklin Canyon,0,0,2020-05-27,0,0
Unincorporated - Glendora,2,303.03,2020-05-27,0,0
Unincorporated - Hacienda Heights,131,234.24,2020-05-27,2,3.58
Unincorporated - Harbor Gateway,0,0,2020-05-27,0,0
Unincorporated - Hawthorne,5,198.89,2020-05-27,0,0
Unincorporated - Hi Vista,1,91.07,2020-05-27,0,0
Unincorporated - Kagel/Lopez Canyons,7,495.75,2020-05-27,1,70.82
Unincorporated - La Crescenta-Montrose,29,146.46,2020-05-27,1,5.05
Unincorporated - La Habra Heights,0,0,2020-05-27,0,0
Unincorporated - La Rambla,9,433.73,2020-05-27,0,0
Unincorporated - La Verne,4,196.08,2020-05-27,0,0
Unincorporated - Ladera Heights,19,268.7,2020-05-27,1,14.14
Unincorporated - Lake Hughes,1,149.7,2020-05-27,0,0
Unincorporated - Lake Los Angeles,28,215.48,2020-05-27,2,15.39
Unincorporated - Lake Manor,4,243.46,2020-05-27,0,0
Unincorporated - Lakewood,0,0,2020-05-27,0,0
Unincorporated - Lennox,90,399.25,2020-05-27,0,0
Unincorporated - Leona Valley,2,114.22,2020-05-27,0,0
Unincorporated - Littlerock,13,323.3,2020-05-27,0,0
Unincorporated - Littlerock/Juniper Hills,2,154.2,2020-05-27,0,0
Unincorporated - Littlerock/Pearblossom,20,560.38,2020-05-27,0,0
Unincorporated - Llano,1,114.03,2020-05-27,0,0
Unincorporated - Marina del Rey,14,148.76,2020-05-27,1,10.63
Unincorporated - Miracle Mile,0,0,2020-05-27,0,0
Unincorporated - Monrovia,20,515.33,2020-05-27,0,0
Unincorporated - Newhall,1,454.55,2020-05-27,0,0
Unincorporated - North Lancaster,5,417.36,2020-05-27,0,0
Unincorporated - North Whittier,11,131.58,2020-05-27,1,11.96
Unincorporated - Northeast San Gabriel,52,216.34,2020-05-27,2,8.32
Unincorporated - Palmdale,4,475.06,2020-05-27,0,0
Unincorporated - Palos Verdes Peninsula,0,0,2020-05-27,0,0
Unincorporated - Pearblossom/Llano,2,102.25,2020-05-27,0,0
Unincorporated - Pellissier Village,1,161.55,2020-05-27,0,0
Unincorporated - Placerita Canyon,0,0,2020-05-27,0,0
Unincorporated - Pomona,1,51.6,2020-05-27,0,0
Unincorporated - Quartz Hill,43,333.18,2020-05-27,8,61.99
Unincorporated - Rancho Dominguez,17,638.86,2020-05-27,1,37.58
Unincorporated - Roosevelt,0,0,2020-05-27,0,0
Unincorporated - Rosewood,5,388.8,2020-05-27,0,0
Unincorporated - Rosewood/East Gardena,0,0,2020-05-27,0,0
Unincorporated - Rosewood/West Rancho Dominguez,27,803.33,2020-05-27,0,0
Unincorporated - Rowland Heights,124,243.03,2020-05-27,4,7.84
Unincorporated - San Clemente Island,0,0,2020-05-27,0,0
Unincorporated - San Francisquito Canyon/Bouquet Canyon,0,0,2020-05-27,0,0
Unincorporated - San Jose Hills,57,281.89,2020-05-27,2,9.89
Unincorporated - San Pasqual,1,49.14,2020-05-27,0,0
Unincorporated - Sand Canyon,0,0,2020-05-27,0,0
Unincorporated - Santa Catalina Island,2,749.06,2020-05-27,0,0
Unincorporated - Santa Monica Mountains,21,112.78,2020-05-27,1,5.37
